,Navn,Latitude,Longitude,Lufttemperatur
156,MOLDE - NØISOMHED,62.7413,7.2275,[1.1 0.2 1.  ... 0.1 0.4 0.7]
157,HYNNEKLEIV,58.6007,8.4167,[-4.2 -4.2 -3.7 ... -3.9 -3.7 -3.7]
158,KISE PÅ HEDMARK,60.7733,10.8055,[-3.6 -7.2 -6.8 ... -2.9 -2.1 -1.4]
159,SVELVIK - KNEM,59.6027,10.4047,[-4.8 -4.3 -4.1 ...  0.   0.   0. ]
160,KRISTIANSUND - KARIHOLA,63.1257,7.7027,[2.4 2.  2.5 ... 1.8 3.  2.5]
161,LADE,63.4428,10.4428,[ 1.3  0.1 -0.4 ...  0.2 -0.7 -0.8]
162,SKARE,59.9333,6.5887,[ 4.5  2.5  1.8 ...  0.  -0.2 -1.1]
163,GLOMFJORD,66.8102,13.9793,[-6.3 -7.  -6.8 ...  1.4  2.6  2.4]
164,KVITFJELL,61.4648,10.1277,[-4.  -4.9 -5.  ... -7.  -7.6 -6.6]
165,SKAMDAL,66.2348,13.904,[-6.2 -7.5 -7.3 ...  0.2  0.3  0.2]
166,VERLEGENHUKEN,80.0555,16.2433,[-13.2 -13.9 -13.4 ...  -1.9  -1.2  -1.1]
167,TORUNGEN FYR,58.3988,8.7893,[3.3 3.  2.8 ... 4.  3.3 2.8]
168,FYRIEGG,59.8655,8.6978,[ 0.1 -0.3  0.1 ... -5.4 -5.7 -5.7]
169,NARVIK - FAGERNESFJELLET,68.421,17.4802,[-11.3 -11.1 -11.2 ...  -4.5  -4.7  -5.2]
170,SANDANE LUFTHAMN,61.8293,6.1043,[ 0.8  0.3  0.1 ... -0.9 -0.8 -0.7]
171,ITASMOBAWS1,59.660088,10.7821181,[-2.5 -3.2 -3.5 ...  0.   0.   0. ]
172,BØVERDAL,61.7195,8.2423,[-4.5 -7.3 -9.4 ... -3.1 -3.6 -4.6]
173,NEDRE SASSENDALEN,78.3313,16.6818,[-13.8 -14.1 -13.9 ...  -0.4  -0.6  -0.1]
174,MOGEN,60.018,7.913,[ 0.2 -1.1 -2.  ...  0.   0.   0. ]
175,TØNSBERG - VEAR,59.2632,10.3603,[-2.4 -3.6 -4.2 ... -3.6 -3.8 -3.8]
176,TORVHAUGDALEN,70.306,29.1003,[-8.5 -6.8 -6.8 ... -4.3 -4.1 -4.3]
177,OSLO - BESSERUD,59.9573,10.671,[-0.3 -0.6 -0.6 ... -0.7 -0.8 -1.3]
178,HAMAR II,60.80056,11.0948,[ -7.1  -8.4 -10.  ...  -4.2  -4.4  -4.2]
179,SKEDSMO - HELLERUD,59.9775,10.9777,[-6.5 -6.8 -7.4 ... -2.4 -3.3 -2.2]
180,BULKEN,60.6455,6.222,[ 1.8  1.7  0.9 ... -1.3 -1.7 -2.2]
181,OTTA - SKANSEN,61.7782,9.5413,[ -9.3  -9.9 -10.8 ...  -6.   -7.8  -8.9]
182,ROGNSUNDET,70.4107,22.8177,[-1.9 -1.5 -1.2 ... -1.8 -1.5 -1.3]
183,MARSTEIN,62.4458,7.8355,[-1.9 -2.3 -3.9 ... -1.2 -1.3 -1. ]
184,STRØMTANGEN FYR,59.15154567,10.82829919,[-1.3 -1.2 -1.7 ...  3.7  3.5  2. ]
185,RYGGE - HUGGENES,59.398,10.7543,[-3.7 -3.4 -2.9 ... -1.7 -1.9 -2.7]
186,VESTFOSSEN,59.7323,9.8728,[-7.4 -6.3 -7.1 ... -4.8 -5.9 -7. ]
187,OBRESTAD FYR,58.6592,5.5553,[5.1 4.7 5.  ... 1.1 0.4 0. ]
188,VADSØ LUFTHAVN,70.0653,29.8352,[-5.8 -4.  -5.4 ... -1.7 -1.8 -1.5]
189,SURNADAL - SYLTE,62.9853,8.6895,[ 0.6  0.6  0.3 ... -0.5 -0.5  0.1]
190,HAMAR - STAVSBERG,60.818,11.0697,[-6.9 -7.3 -6.5 ... -0.7 -0.6 -0.1]
191,FLÅM - JOASETBERGI,60.8625,7.1603,[-0.1 -0.5 -0.8 ... -4.8 -4.8 -5.2]
192,GULSVIK II,60.383,9.605,[-8.7 -8.  -7.9 ... -4.6 -5.8 -7. ]
193,SAUDA,59.6479,6.3499,[4.2 2.6 3.  ... 1.2 1.1 0. ]
194,SVALBARD LUFTHAVN,78.2453,15.5015,[-10.7 -10.8 -11.4 ...   0.5   0.6   0.6]
195,SOLVÆR III,66.3705,12.611,[ 0.2 -0.1 -0.2 ...  2.7  2.3  0.7]
196,KJELLER,59.9708,11.0383,[-7.4 -7.1 -8.  ... -2.2 -2.5 -3.8]
197,LISTA FYR,58.109,6.5675,[5.2 5.  5.2 ... 5.7 4.3 2.7]
198,JOMFRULAND,58.8565,9.5745,[2.1 1.5 1.3 ... 3.7 3.4 2.8]
199,FÆRDER FYR,59.0272,10.5242,[0.3 1.  1.3 ... 4.7 4.3 3.9]
200,TRONDHEIM - VOLL,63.4107,10.4538,[ 0.5  0.2  0.1 ... -1.3 -1.7 -1.7]
201,NORDDAL,62.2473791,7.2385587,[12.4 14.8 15.  ...  0.   0.   0. ]
202,TAMOKDALEN,69.0935,19.6278,[-13.4 -12.  -11.7 ...  -0.6  -1.5  -2.1]
203,ULLENSVANG FORSØKSGARD,60.3185,6.6538,[5.3 4.4 3.4 ... 1.5 1.3 2. ]
204,BERGEN - FLORIDA,60.383,5.3327,[2.8 3.  2.8 ... 0.6 0.7 0.2]
205,TRYVANNSHØGDA,59.9847986,10.6692319,[-0.3  0.   0.2 ... -0.4 -0.6 -0.5]
206,HITRA - SANDSTAD II,63.5187,9.1125,[ 1.5  0.9  0.6 ... -0.3  0.3 -0.1]
207,ØKSFJORD - DEALLJA,70.1728,22.3413,[-6.  -7.3 -8.8 ... -5.6 -5.5 -5.2]
208,STORD LUFTHAVN,59.7933,5.3407,[3.5 3.2 3.2 ... 0.4 0.5 0.3]
209,TROLL AIRFIELD,-71.9563,2.4668,[-11.2 -13.5 -11.8 ...  -7.  -10.3 -10.9]
210,HJARTÅSEN,66.4993,14.954,[-12.9 -13.  -13.  ...   1.1   1.1  -0.4]
211,KVITHAMAR,63.4882,10.8795,[-1.4 -3.1 -3.9 ... -0.4  0.1 -0.9]
212,INNERDALEN,62.722,8.7753,[-1.1 -1.6 -1.7 ... -2.7 -3.4 -3.5]
213,SKROVA FYR,68.1535,14.6485,[-1.  -0.6 -0.5 ...  4.   3.   3. ]
214,SNØHEIM,62.2958,9.352,[ -7.6  -8.   -8.9 ... -10.2 -10.5 -11.3]
215,TRONDHEIM - VOLL PLU,63.4107,10.4535,[ 0.3 -0.1 -0.3 ...  0.1 -0.2 -0.2]
216,BERGEN - SANDSLI,60.2913,5.2777,[-0.5 -0.5 -0.3 ...  0.2  0.   0. ]
217,SANDANE,61.7873,6.1835,[ 0.2 -0.6 -1.  ... -0.5 -1.2  0. ]
218,EDGEØYA - KAPP HEUGLIN,78.2508,22.8225,[-18.8 -18.5 -18.8 ...  -1.3  -0.9  -0.6]
219,EVANGER,60.647,6.1105,[ 1.1  0.6  0.6 ...  0.1 -0.2 -1.1]
